Day,S(t)_1.0x (Base),S(t)_1.5x Stress,S(t)_2.0x Stress
808,2.683479662982652e-07,1.248295412347197e-10,5.39494690758047e-14
809,2.633695181439759e-07,1.2135574520935673e-10,5.1947705183569364e-14
810,2.5848343121144973e-07,1.179786190804499e-10,5.002021558446241e-14
811,2.536879919957909e-07,1.1469547268749105e-10,4.816424437373348e-14
812,2.489815187814084e-07,1.11503690732611e-10,4.637713790288633e-14
813,2.443623610522542e-07,1.0840073069727834e-10,4.46563409855196e-14
814,2.3982889891300254e-07,1.0538412081697293e-10,4.2999393243947613e-14
815,2.3537954252096797e-07,1.0245145811222087e-10,4.140392559137779e-14
816,2.310127315285623e-07,9.960040647442245e-11,3.986765684461473e-14
817,2.2672693453609548e-07,9.682869480494825e-11,3.8388390462448054e-14
818,2.225206485547279e-07,9.413411520602107e-11,3.6964011405060383e-14
819,2.1839239847938645e-07,9.15145212219427e-11,3.5592483109965264e-14
820,2.143407365714589e-07,8.896782612926411e-11,3.4271844580151115e-14
821,2.1036424195108554e-07,8.649200127453764e-11,3.300020758026791e-14
822,2.0646152009886997e-07,8.408507445832654e-11,3.177575393684778e-14
823,2.0263120236683422e-07,8.174512836418482e-11,3.059673293869928e-14
824,1.9887194549844667e-07,7.947029903135611e-11,2.9461458833758656e-14
825,1.9518243115755465e-07,7.725877436997454e-11,2.836830841881889e-14
826,1.9156136546605622e-07,7.510879271758515e-11,2.7315718718690496e-14
827,1.8800747855014937e-07,7.301864143583399e-11,2.6302184751475714e-14
828,1.84519524094999e-07,7.098665554620987e-11,2.532625737676092e-14
829,1.8109627890766618e-07,6.901121640375112e-11,2.438654122365061e-14
830,1.7773654248814575e-07,6.709075040766095e-11,2.3481692695680472e-14
831,1.7443913660836215e-07,6.522372774780414e-11,2.2610418049757028e-14
832,1.7120290489897608e-07,6.340866118608661e-11,2.1771471546377103e-14
833,1.6802671244385634e-07,6.164410487174721e-11,2.096365366848232e-14
834,1.649094453820757e-07,5.992865318961788e-11,2.0185809406401992e-14
835,1.6185001051728992e-07,5.82609396404348e-11,1.94368266064322e-14
836,1.588473349343645e-07,5.663963575230865e-11,1.8715634380689898e-14
837,1.5590036562311292e-07,5.506345002248678e-11,1.8021201575968463e-14
838,1.530080691090162e-07,5.353112688856433e-11,1.7352535299405478e-14
839,1.5016943109079296e-07,5.204144572832488e-11,1.670867949885475e-14
840,1.4738345608469335e-07,5.059321988741379e-11,1.6088713595932815e-14
841,1.4464916707539238e-07,4.918529573406979e-11,1.549175116978546e-14
842,1.419656051733597e-07,4.781655174016179e-11,1.4916938689692327e-14
843,1.3933182927858618e-07,4.6485897587798875e-11,1.436345429469749e-14
844,1.367469157505487e-07,4.5192273300801885e-11,1.3830506618521138e-14
845,1.3420995808429838e-07,4.3934648400344603e-11,1.331733365807223e-14
846,1.317200665925575e-07,4.27120210840921e-11,1.2823201683944333e-14
847,1.2927636809371473e-07,4.152341742818224e-11,1.234740419133688e-14
848,1.2687800560560844e-07,4.0367890611414714e-11,1.1889260889901903e-14
849,1.24524138044991e-07,3.9244520161029554e-11,1.1448116731071894e-14
850,1.2221393993256896e-07,3.815241121947443e-11,1.1023340971478134e-14
851,1.19946601103515e-07,3.70906938315765e-11,1.0614326271120322e-14
852,1.1772132642335087e-07,3.605852225155111e-11,1.0220487824998103e-14
853,1.1553733550910109e-07,3.505507426929528e-11,9.841262526962917e-15
854,1.1339386245562e-07,3.407955055542929e-11,9.47610816459463e-15
